,time,open,high,low,close,tick_volume,spread,real_volume
12103,1665561600,0.97141,0.97321,0.96949,0.97029,38364,16,0
12104,1665576000,0.97029,0.97191,0.96865,0.97045,32384,16,0
12105,1665590400,0.97047,0.97103,0.96671,0.96828,38368,16,0
12106,1665604800,0.96827,0.97192,0.96799,0.97007,22625,16,0
12107,1665619200,0.97003,0.97212,0.96963,0.97139,9237,16,0
12108,1665633600,0.9714,0.9714,0.96941,0.97031,15050,16,0
12109,1665648000,0.97031,0.97134,0.96846,0.97131,23543,16,0
12110,1665662400,0.97126,0.97522,0.96312,0.96677,42550,16,0
12111,1665676800,0.96675,0.97981,0.96446,0.97737,70759,16,0
12112,1665691200,0.97737,0.98051,0.97676,0.97749,30563,16,0
12113,1665705600,0.97693,0.97779,0.9761,0.97672,12412,16,0
12114,1665720000,0.97675,0.98079,0.97669,0.9781,23133,16,0
12115,1665734400,0.97809,0.97963,0.97441,0.97495,37692,16,0
12116,1665748800,0.97497,0.9776,0.97081,0.97723,41061,16,0
12117,1665763200,0.97724,0.97989,0.97064,0.97167,58800,16,0
12118,1665777600,0.97169,0.97311,0.9713,0.97188,21479,16,0
12119,1665964800,0.97206,0.97499,0.9717,0.97448,15302,16,0
12120,1665979200,0.97449,0.97515,0.97317,0.9736,19431,16,0
12121,1665993600,0.97358,0.97562,0.97193,0.97376,36483,16,0
12122,1666008000,0.97377,0.97841,0.97288,0.97746,32391,16,0
12123,1666022400,0.97747,0.98514,0.97719,0.98385,38450,16,0
12124,1666036800,0.98385,0.98501,0.98314,0.98348,20114,16,0
12125,1666051200,0.98322,0.9852,0.98313,0.98404,11737,16,0
12126,1666065600,0.98403,0.98656,0.98223,0.98567,22532,16,0
12127,1666080000,0.98567,0.98728,0.98238,0.98282,35029,16,0
12128,1666094400,0.98281,0.98573,0.98117,0.98536,33540,16,0
12129,1666108800,0.98537,0.98749,0.98206,0.98552,40932,16,0
12130,1666123200,0.98551,0.9863,0.98409,0.9848,25181,16,0
12131,1666137600,0.98487,0.98714,0.98487,0.98603,11351,16,0
12132,1666152000,0.98603,0.98633,0.98365,0.98391,17700,16,0
12133,1666166400,0.9839,0.98432,0.98117,0.9816,32103,16,0
12134,1666180800,0.9816,0.98233,0.97586,0.97788,32523,16,0
12135,1666195200,0.97791,0.98019,0.97642,0.97651,35072,16,0
12136,1666209600,0.97653,0.97778,0.97565,0.977,20154,16,0
12137,1666224000,0.97711,0.97753,0.97576,0.97641,9193,16,0
12138,1666238400,0.9764,0.97849,0.97537,0.97773,21246,16,0
12139,1666252800,0.9777,0.97937,0.97707,0.97808,34728,16,0
12140,1666267200,0.97811,0.98368,0.97721,0.98018,35064,16,0
12141,1666281600,0.98022,0.98447,0.9779,0.98017,39792,16,0
12142,1666296000,0.98018,0.98018,0.97724,0.97802,21396,16,0
12143,1666310400,0.97803,0.97878,0.97672,0.977,8900,16,0
12144,1666324800,0.97703,0.97825,0.97637,0.97703,15762,16,0
12145,1666339200,0.97701,0.98016,0.9752,0.97552,30118,16,0
12146,1666353600,0.97554,0.97769,0.9704,0.97568,36658,16,0
12147,1666368000,0.97565,0.98671,0.97509,0.9838,81869,16,0
12148,1666382400,0.98381,0.98683,0.98232,0.98586,31863,16,0
12149,1666569600,0.98724,0.98981,0.98302,0.98482,32625,16,0
12150,1666584000,0.98483,0.98485,0.98245,0.9847,26673,16,0
12151,1666598400,0.98467,0.98611,0.98158,0.9834,40798,16,0
12152,1666612800,0.98344,0.9857,0.9806,0.98426,42536,16,0
12153,1666627200,0.98428,0.98928,0.9826,0.98698,53636,16,0
12154,1666641600,0.98698,0.98801,0.98675,0.98709,14202,16,0
12155,1666656000,0.98721,0.98964,0.98656,0.98933,13683,16,0
12156,1666670400,0.98934,0.98976,0.98764,0.9878,26622,16,0
12157,1666684800,0.98781,0.98794,0.98519,0.98563,28906,16,0
12158,1666699200,0.98564,0.98748,0.98478,0.98738,26543,16,0
12159,1666713600,0.98733,0.9976,0.98724,0.99528,43583,16,0
12160,1666728000,0.99528,0.9969,0.99499,0.99602,16137,16,0
12161,1666742400,0.99615,0.99666,0.99426,0.99464,12298,16,0
12162,1666756800,0.99464,0.99601,0.99443,0.99539,17054,16,0
12163,1666771200,0.99538,1.0044,0.99508,1.00374,34650,16,0
12164,1666785600,1.00373,1.00468,0.99948,1.00036,35061,16,0
12165,1666800000,1.00037,1.00828,1.00009,1.00756,43394,16,0
12166,1666814400,1.00756,1.00878,1.00662,1.00766,19517,16,0
12167,1666828800,1.00737,1.00928,1.00675,1.00774,13239,16,0
12168,1666843200,1.00775,1.00834,1.00612,1.00697,19440,16,0
12169,1666857600,1.00698,1.0083,1.00535,1.00594,31150,16,0
12170,1666872000,1.00596,1.00619,0.9985,1.00053,37906,16,0
12171,1666886400,1.00055,1.00429,0.99696,0.9977,52873,16,0
12172,1666900800,0.99773,0.99948,0.99569,0.99611,18224,16,0
12173,1666915200,0.99626,0.99713,0.99572,0.99657,9218,16,0
12174,1666929600,0.99659,0.99973,0.99634,0.99842,22660,16,0
12175,1666944000,0.99841,0.99892,0.99256,0.99401,37035,16,0
12176,1666958400,0.99412,0.99749,0.99345,0.99685,35030,16,0
12177,1666972800,0.99685,0.9989,0.99281,0.99379,39617,16,0
12178,1666987200,0.99376,0.99668,0.99333,0.99647,12272,16,0
12179,1667160000,0.99453,0.99586,0.99445,0.9955,225,46,0
12180,1667174400,0.99571,0.99641,0.99422,0.99473,15730,16,0
12181,1667188800,0.99472,0.99649,0.99434,0.99472,12282,16,0
12182,1667203200,0.99471,0.99539,0.99133,0.99451,23786,16,0
12183,1667217600,0.99453,0.99458,0.98876,0.98891,27391,16,0
12184,1667232000,0.98892,0.99073,0.98721,0.98861,28287,16,0
12185,1667246400,0.9886,0.98951,0.98726,0.98811,10812,16,0
12186,1667260800,0.98808,0.9899,0.98801,0.98941,12283,16,0
12187,1667275200,0.98942,0.99271,0.98921,0.99242,18813,16,0
12188,1667289600,0.99241,0.99472,0.99078,0.99332,29680,16,0
12189,1667304000,0.99331,0.99533,0.99226,0.99347,30241,16,0
12190,1667318400,0.99357,0.99364,0.9852,0.98812,39934,16,0
12191,1667332800,0.98811,0.98854,0.98717,0.98739,14233,16,0
12192,1667347200,0.98743,0.98884,0.98692,0.98873,12913,16,0
12193,1667361600,0.98871,0.98989,0.98781,0.98868,14999,16,0
12194,1667376000,0.98871,0.99062,0.98703,0.99042,23282,16,0
12195,1667390400,0.99041,0.99141,0.98836,0.98935,27735,16,0
12196,1667404800,0.98936,0.98937,0.9858,0.98736,24327,16,0
12197,1667419200,0.98738,0.99752,0.9812,0.98141,42017,16,0
12198,1667433600,0.98141,0.98386,0.9809,0.98301,13437,16,0
12199,1667448000,0.983,0.98383,0.98235,0.98253,12067,16,0
12200,1667462400,0.98252,0.98252,0.97468,0.97525,31915,16,0
12201,1667476800,0.97525,0.97628,0.97292,0.97443,40289,16,0
12202,1667491200,0.97459,0.97939,0.97417,0.97463,40152,16,0
12203,1667505600,0.97463,0.97607,0.97417,0.97469,13184,16,0
12204,1667520000,0.97461,0.97658,0.97415,0.97629,12384,16,0
12205,1667534400,0.97629,0.97894,0.97595,0.97745,16206,16,0
12206,1667548800,0.97745,0.97954,0.97561,0.97747,31385,16,0
12207,1667563200,0.97747,0.98808,0.97502,0.98657,47733,16,0
12208,1667577600,0.98657,0.99398,0.98594,0.99224,49481,16,0
12209,1667592000,0.99222,0.99657,0.99135,0.9957,17134,16,0
12210,1667779200,0.99041,0.99462,0.98995,0.99292,16858,16,0
12211,1667793600,0.99294,0.99547,0.99244,0.99435,16669,16,0
12212,1667808000,0.99436,1.00062,0.99232,0.99848,35961,16,0
12213,1667822400,0.99849,0.99975,0.99651,0.99932,30888,16,0
12214,1667836800,0.99931,1.00257,0.99801,1.0021,39305,16,0
